8201945.00, 1.0013, 
8201953.00, 0.9288, 
8201961.00, 1.0604, 
8201970.00, 0.7386, 
8201978.00, 0.0787, 
8201988.00, 0.0667, 
8201996.00, 0.2574, 
8202004.00, -0.0454, 
8202013.00, -0.1230, 
8202021.00, -0.0266, 
8202030.00, 0.9478, 
8202039.00, 1.9643, 
8202047.00, 1.9643, 
8202056.00, -0.1342, 
8202064.00, -0.0256, 
8202073.00, -0.6425, 
8202082.00, 0.0628, 
8202090.00, 0.0367, 
8202098.00, 0.2469, 
8202107.00, 0.1446, 
8202116.00, 1.9643, 
8202125.00, 1.9643, 
8202133.00, 0.6709, 
8202141.00, -0.1691, 
8202150.00, -0.1792, 
8202159.00, -0.0388, 
8202167.00, 0.4788, 
8202176.00, 1.9643, 
8202184.00, 1.9643, 
8202192.00, 0.9522, 
8202202.00, 0.1065, 
8202210.00, 0.4458, 
8202219.00, 0.7486, 
8202227.00, 1.7024, 
8202235.00, 1.3216, 
8202245.00, 0.7518, 
8202253.00, 0.5145, 
8202261.00, 0.9527, 
8202270.00, 1.3445, 
8202278.00, 0.9778, 
8202288.00, 1.0386, 
8202296.00, 0.9102, 
8202304.00, 0.9957, 
8202313.00, 1.0794, 
8202321.00, 0.9078, 
8202330.00, 0.9866, 
8202339.00, 1.0064, 
8202347.00, 0.9979, 
8202356.00, 0.9791, 
8202364.00, 0.9563, 
8202373.00, 1.0745, 
8202382.00, 0.9976, 
8202390.00, 0.9729, 
8202398.00, 0.9878, 
8202407.00, 1.0413, 
8202416.00, 1.0147, 
8202425.00, 0.9351, 
8202433.00, 1.0186, 
8202441.00, 1.0237, 
8202450.00, 0.9615, 
8202459.00, 0.9620, 
8202467.00, 1.0149, 
8202476.00, 1.0386, 
8202484.00, 0.9771, 
8202493.00, 0.9952, 
8202502.00, 1.0457, 
8202510.00, 1.0113, 
8202519.00, 0.9734, 
8202527.00, 0.9686, 
8202536.00, 1.0105, 
8202545.00, 1.0328, 
8202553.00, 0.9581, 
8202562.00, 0.9947, 
8202570.00, 1.0359, 
8202579.00, 0.9959, 
8202588.00, 0.9861, 
8202596.00, 0.9944, 
8202605.00, 1.0213, 
8202613.00, 0.9937, 
8202621.00, 0.9617, 
8202631.00, 1.0206, 
8202639.00, 1.0142, 
8202648.00, 0.9922, 
8202656.00, 0.9966, 
